vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
VTS,2010-01-07 09:04:00,2010-01-07 09:17:00,5,1.4,-73.96101199999998,40.768952,1,,-73.97749299999998,40.75937,CAS,8.5,0.0,0.5,0.0,0.0,9.0
VTS,2010-01-23 02:57:00,2010-01-23 03:05:00,2,1.57,-73.981218,40.675283,1,,-73.993538,40.687233,CAS,6.9,0.5,0.5,0.0,0.0,7.9
VTS,2010-01-07 18:10:00,2010-01-07 18:20:00,5,1.76,-74.007377,40.743063,1,,-73.980795,40.738692,CAS,7.7,1.0,0.5,0.0,0.0,9.2
VTS,2010-01-17 09:46:00,2010-01-17 09:52:00,1,1.21,-73.995833,40.738822,1,,-73.99294299999998,40.75167,CAS,5.7,0.0,0.5,0.0,0.0,6.2
VTS,2010-01-31 06:09:00,2010-01-31 06:15:00,3,1.79,-74.236878,40.777072,1,,-74.236028,40.776322,CAS,6.9,0.0,0.5,0.0,0.0,7.4
VTS,2010-01-31 14:21:00,2010-01-31 14:26:00,1,1.57,-73.96454,40.756122,1,,-73.957077,40.774573,Cre,6.1,0.0,0.5,1.0,0.0,7.599999999999999
CMT,2010-01-27 21:48:29,2010-01-27 21:57:15,1,1.5,-73.98905899999998,40.736502,1,0,-73.98755,40.721353,Cre,6.9,0.5,0.5,1.18,0.0,9.08
DDS,2010-01-28 11:12:56,2010-01-28 11:16:48,1,1.1,-73.990542,40.714635,1,,-73.956863,40.775872,CAS,4.9,0.5,0.0,0.0,0.0,5.4
DDS,2010-01-06 21:56:59,2010-01-06 21:58:27,1,0.0,-73.970507,40.7937,1,,-73.980908,40.770948,CRE,45.0,0.0,-1.0,9.1,5.5,60.1
VTS,2010-01-26 18:23:00,2010-01-26 18:31:00,2,1.5,-74.008588,40.720058,1,,-73.998185,40.734625,CAS,6.5,1.0,0.5,0.0,0.0,8.0
VTS,2010-01-26 19:07:00,2010-01-26 19:14:00,1,2.66,-74.00376799999998,40.748458,1,,-74.01470299999998,40.716697,CAS,8.5,1.0,0.5,0.0,0.0,10.0
CMT,2010-01-15 00:49:36,2010-01-15 01:03:58,1,5.2,-73.988442,40.745245,1,0,-73.96735099999998,40.801218,Cas,14.1,0.5,0.5,0.0,0.0,15.1
DDS,2010-01-25 15:40:24,2010-01-25 15:48:37,1,1.5,-73.98761,40.755202,1,,-74.005365,40.727632,CAS,6.9,0.0,0.5,0.0,0.0,7.4
DDS,2010-01-05 18:32:46,2010-01-05 18:45:54,1,2.7,-74.005238,40.720187,1,,-73.97000699999998,40.76379,CAS,10.1,1.5,-1.0,0.0,0.0,11.6
VTS,2010-01-31 20:45:00,2010-01-31 20:52:00,2,2.14,-73.98299699999998,40.756552,1,,-73.978463,40.783012,CAS,7.7,0.5,0.5,0.0,0.0,8.699999999999998
VTS,2010-01-22 15:06:00,2010-01-22 15:10:00,1,0.8599999999999999,-73.95493,40.7899,1,,-73.955168,40.780925,CAS,4.5,0.0,0.5,0.0,0.0,5.0
VTS,2010-01-01 02:26:00,2010-01-01 02:32:00,1,0.81,-74.016857,40.707823,1,,-74.01164699999998,40.703548,Cre,4.5,0.5,0.5,2.0,0.0,7.5
DDS,2010-01-03 19:53:52,2010-01-03 20:05:43,2,2.4,-73.978458,40.760162,1,,-73.98052,40.745365,CAS,8.9,0.0,-1.0,0.0,0.0,9.4
VTS,2010-01-20 21:53:00,2010-01-20 21:56:00,1,1.03,-73.982877,40.757235,1,,-73.98137699999998,40.768307,CAS,4.5,0.5,0.5,0.0,0.0,5.5
VTS,2010-01-24 15:54:00,2010-01-24 16:10:00,2,3.9,-73.978672,40.762528,1,,-73.949088,40.803457,CAS,12.5,0.0,0.5,0.0,0.0,13.0
DDS,2010-01-26 15:50:54,2010-01-26 15:52:40,1,0.2999999999999999,-73.971237,40.760373,1,,-73.95914999999998,40.780142,CAS,3.3,0.0,0.5,0.0,0.0,3.8
VTS,2010-01-01 03:03:00,2010-01-01 03:12:00,1,1.77,0.0,0.0,1,,0.0,0.0,CAS,6.9,0.5,0.5,0.0,0.0,7.9
DDS,2010-01-29 09:38:47,2010-01-29 10:06:32,4,4.0,-73.980163,40.765238,1,,-73.96530799999998,40.75512,CAS,15.7,0.0,0.5,0.0,0.0,16.2
VTS,2010-01-06 11:20:00,2010-01-06 11:29:00,5,1.04,-73.95559,40.78781,1,,-73.945875,40.778627,CAS,6.5,0.0,0.5,0.0,0.0,7.0
VTS,2010-01-06 18:37:00,2010-01-06 18:43:00,5,1.0,-73.988725,40.736943,1,,-73.97919,40.742098,CAS,5.3,1.0,0.5,0.0,0.0,6.8
CMT,2010-01-25 15:04:39,2010-01-25 15:16:35,2,1.9,-73.973268,40.751273,1,0,-73.95256899999998,40.768471,Cre,8.5,0.0,0.5,2.0,0.0,11.0
VTS,2010-01-01 11:17:00,2010-01-01 11:25:00,5,1.82,-73.99642199999998,40.743947,1,,-73.974457,40.748313,CAS,6.9,0.0,0.5,0.0,0.0,7.4
VTS,2010-01-25 08:00:00,2010-01-25 08:16:00,2,2.35,-73.968542,40.786607,1,,-73.967258,40.761532,Cre,10.1,0.0,0.5,2.0,0.0,12.6
VTS,2010-01-08 08:12:00,2010-01-08 08:17:00,1,1.52,-73.994725,40.760428,1,,-73.98112,40.779403,CAS,5.7,0.0,0.5,0.0,0.0,6.2
